1,0000000;5,0000000;4,9990000;-1,0050000;0,0000010
1,0010000;4,9990000;4,9979900;-1,0099900;0,0000010
1,0020000;4,9980000;4,9969800;-1,0149700;0,0000010
1,0030000;4,9970000;4,9959600;-1,0199500;0,0000011
1,0040000;4,9960100;4,9949400;-1,0249300;0,0000011
1,0050000;4,9950100;4,9939100;-1,0298900;0,0000012
1,0060000;4,9940200;4,9928800;-1,0348500;0,0000013
1,0070000;4,9930200;4,9918400;-1,0398100;0,0000014
1,0080000;4,9920300;4,9908000;-1,0447600;0,0000015
1,0090000;4,9910400;4,9897500;-1,0497000;0,0000017
1,0100000;4,9900500;4,9887000;-1,0546400;0,0000018
1,0110000;4,9890600;4,9876400;-1,0595700;0,0000020
1,0120000;4,9880700;4,9865800;-1,0645000;0,0000022
1,0130000;4,9870800;4,9855100;-1,0694200;0,0000025
1,0140000;4,9861000;4,9844400;-1,0743300;0,0000027
1,0150000;4,9851100;4,9833600;-1,0792400;0,0000031
1,0160000;4,9841300;4,9822800;-1,0841400;0,0000034
1,0170000;4,9831400;4,9812000;-1,0890300;0,0000038
1,0180000;4,9821600;4,9801000;-1,0939200;0,0000042
1,0190000;4,9811800;4,9790100;-1,0988100;0,0000047
1,0200000;4,9802000;4,9779100;-1,1036900;0,0000052
1,0210000;4,9792200;4,9768000;-1,1085600;0,0000058
1,0220000;4,9782400;4,9756900;-1,1134300;0,0000065
1,0230000;4,9772600;4,9745700;-1,1182900;0,0000072
1,0240000;4,9762800;4,9734500;-1,1231400;0,0000080
1,0250000;4,9753100;4,9723300;-1,1279900;0,0000089
1,0260000;4,9743300;4,9712000;-1,1328400;0,0000098
1,0270000;4,9733600;4,9700600;-1,1376700;0,0000109
1,0280000;4,9723800;4,9689200;-1,1425000;0,0000120
1,0290000;4,9714100;4,9677800;-1,1473300;0,0000132
1,0300000;4,9704400;4,9666300;-1,1521500;0,0000145
1,0310000;4,9694700;4,9654700;-1,1569700;0,0000160
1,0320000;4,9685000;4,9643100;-1,1617700;0,0000175
1,0330000;4,9675300;4,9631500;-1,1665800;0,0000192
1,0340000;4,9665600;4,9619800;-1,1713700;0,0000210
1,0350000;4,9656000;4,9608100;-1,1761700;0,0000229
1,0360000;4,9646300;4,9596300;-1,1809500;0,0000250
1,0370000;4,9636700;4,9584400;-1,1857300;0,0000273
1,0380000;4,9627000;4,9572600;-1,1905000;0,0000297
1,0390000;4,9617400;4,9560600;-1,1952700;0,0000322
1,0400000;4,9607800;4,9548700;-1,2000400;0,0000349
1,0410000;4,9598200;4,9536600;-1,2047900;0,0000379
1,0420000;4,9588600;4,9524600;-1,2095400;0,0000410
1,0430000;4,9579000;4,9512400;-1,2142900;0,0000443
1,0440000;4,9569400;4,9500300;-1,2190300;0,0000478
1,0450000;4,9559800;4,9488100;-1,2237600;0,0000515
1,0460000;4,9550200;4,9475800;-1,2284900;0,0000554
